      Energy	InelasticMFP
        (eV)	        (nm)
2.818383e+01	8.193147e+00
2.851018e+01	7.870709e+00
2.884032e+01	7.561257e+00
2.917427e+01	7.264405e+00
2.951209e+01	6.979751e+00
2.985383e+01	6.706879e+00
3.019952e+01	6.445368e+00
3.054921e+01	6.194791e+00
3.090295e+01	5.954725e+00
3.126079e+01	5.724748e+00
3.162278e+01	5.504447e+00
3.198895e+01	5.293417e+00
3.235937e+01	5.091244e+00
3.273407e+01	4.897459e+00
3.311311e+01	4.711657e+00
3.349654e+01	4.533468e+00
3.388442e+01	4.362544e+00
3.427678e+01	4.198558e+00
3.467369e+01	4.041199e+00
3.507519e+01	3.890172e+00
3.548134e+01	3.745199e+00
3.589219e+01	3.606014e+00
3.630781e+01	3.472364e+00
3.672823e+01	3.344129e+00
3.715352e+01	3.221133e+00
3.758374e+01	3.103177e+00
3.801894e+01	2.990062e+00
3.845918e+01	2.881585e+00
3.890451e+01	2.777550e+00
3.935501e+01	2.677765e+00
3.981072e+01	2.582042e+00
4.027170e+01	2.490202e+00
4.073803e+01	2.402024e+00
4.120975e+01	2.317314e+00
4.168694e+01	2.235900e+00
4.216965e+01	2.157625e+00
4.265795e+01	2.082344e+00
4.315191e+01	2.009920e+00
4.365158e+01	1.940226e+00
4.415704e+01	1.873142e+00
4.466836e+01	1.808600e+00
4.518559e+01	1.746546e+00
4.570882e+01	1.686904e+00
4.623810e+01	1.629586e+00
4.677351e+01	1.574505e+00
4.731513e+01	1.521571e+00
4.786301e+01	1.470698e+00
4.841724e+01	1.421798e+00
4.897788e+01	1.375040e+00
4.954502e+01	1.330443e+00
5.011872e+01	1.287969e+00
5.069907e+01	1.247406e+00
5.128614e+01	1.208708e+00
5.188000e+01	1.171819e+00
5.248075e+01	1.136672e+00
5.308844e+01	1.103267e+00
5.370318e+01	1.071555e+00
5.432503e+01	1.041468e+00
5.495409e+01	1.012935e+00
5.559043e+01	9.858782e-01
5.623413e+01	9.602225e-01
5.688529e+01	9.358931e-01
5.754399e+01	9.128169e-01
5.821032e+01	8.909240e-01
5.888437e+01	8.701472e-01
5.956621e+01	8.504227e-01
6.025596e+01	8.316900e-01
6.095369e+01	8.138981e-01
6.165950e+01	7.969996e-01
6.237348e+01	7.809465e-01
6.309573e+01	7.656925e-01
6.382635e+01	7.511935e-01
6.456542e+01	7.374076e-01
6.531306e+01	7.242955e-01
6.606934e+01	7.118201e-01
6.683439e+01	6.999465e-01
6.760830e+01	6.886421e-01
6.839116e+01	6.778760e-01
6.918310e+01	6.676197e-01
6.998420e+01	6.578460e-01
7.079458e+01	6.485310e-01
7.161434e+01	6.396560e-01
7.244360e+01	6.312012e-01
7.328245e+01	6.231472e-01
7.413102e+01	6.154750e-01
7.498942e+01	6.081669e-01
7.585776e+01	6.012058e-01
7.673615e+01	5.945746e-01
7.762471e+01	5.882568e-01
7.852356e+01	5.822373e-01
7.943282e+01	5.765014e-01
8.035261e+01	5.710354e-01
8.128305e+01	5.658270e-01
8.222426e+01	5.608655e-01
8.317638e+01	5.561405e-01
8.413951e+01	5.516425e-01
8.511380e+01	5.473620e-01
8.609938e+01	5.432905e-01
8.709636e+01	5.394196e-01
8.810489e+01	5.357414e-01
8.912509e+01	5.322486e-01
9.015711e+01	5.289340e-01
9.120108e+01	5.257913e-01
9.225714e+01	5.228147e-01
9.332543e+01	5.199984e-01
9.440609e+01	5.173365e-01
9.549926e+01	5.148235e-01
9.660509e+01	5.124543e-01
9.772372e+01	5.102238e-01
9.885531e+01	5.081273e-01
1.000000e+02	5.061602e-01
1.023293e+02	5.031757e-01
1.047129e+02	5.010152e-01
1.071519e+02	4.995143e-01
1.096478e+02	4.985813e-01
1.122018e+02	4.981513e-01
1.148154e+02	4.981745e-01
1.174898e+02	4.986109e-01
1.202264e+02	4.994276e-01
1.230269e+02	5.005973e-01
1.258925e+02	5.020966e-01
1.288250e+02	5.039059e-01
1.318257e+02	5.060089e-01
1.348963e+02	5.083914e-01
1.380384e+02	5.110411e-01
1.412538e+02	5.139475e-01
1.445440e+02	5.171013e-01
1.479108e+02	5.204944e-01
1.513561e+02	5.241198e-01
1.548817e+02	5.279713e-01
1.584893e+02	5.320438e-01
1.621810e+02	5.363326e-01
1.659587e+02	5.408337e-01
1.698244e+02	5.455438e-01
1.737801e+02	5.504601e-01
1.778279e+02	5.555802e-01
1.819701e+02	5.609021e-01
1.862087e+02	5.664243e-01
1.905461e+02	5.721455e-01
1.949845e+02	5.780649e-01
1.995262e+02	5.841820e-01
2.041738e+02	5.904963e-01
2.089296e+02	5.970080e-01
2.137962e+02	6.037171e-01
2.187762e+02	6.106242e-01
2.238721e+02	6.177299e-01
2.290868e+02	6.250351e-01
2.344229e+02	6.325408e-01
2.398833e+02	6.402482e-01
2.454709e+02	6.481588e-01
2.511886e+02	6.562741e-01
2.570396e+02	6.645959e-01
2.630268e+02	6.731262e-01
2.691535e+02	6.818670e-01
2.754229e+02	6.908207e-01
2.818383e+02	6.999895e-01
2.884032e+02	7.093762e-01
2.951209e+02	7.189832e-01
3.019952e+02	7.288133e-01
3.090295e+02	7.388695e-01
3.162278e+02	7.491548e-01
3.235937e+02	7.596723e-01
3.311311e+02	7.704252e-01
3.388442e+02	7.814171e-01
3.467369e+02	7.926513e-01
3.548134e+02	8.041315e-01
3.630781e+02	8.158615e-01
3.715352e+02	8.278451e-01
3.801894e+02	8.400862e-01
3.890451e+02	8.525890e-01
3.981072e+02	8.653577e-01
4.073803e+02	8.783966e-01
4.168694e+02	8.917102e-01
4.265795e+02	9.053030e-01
4.365158e+02	9.191798e-01
4.466836e+02	9.333453e-01
4.570882e+02	9.478045e-01
4.677351e+02	9.625625e-01
4.786301e+02	9.776244e-01
4.897788e+02	9.929956e-01
5.011872e+02	1.008681e+00
5.128614e+02	1.024688e+00
5.248075e+02	1.041020e+00
5.370318e+02	1.057684e+00
5.495409e+02	1.074686e+00
5.623413e+02	1.092029e+00
5.754399e+02	1.109720e+00
5.888437e+02	1.127765e+00
6.025596e+02	1.146171e+00
6.165950e+02	1.164945e+00
6.309573e+02	1.184093e+00
6.456542e+02	1.203622e+00
6.606934e+02	1.223541e+00
6.760830e+02	1.243855e+00
6.918310e+02	1.264572e+00
7.079458e+02	1.285701e+00
7.244360e+02	1.307249e+00
7.413102e+02	1.329223e+00
7.585776e+02	1.351633e+00
7.762471e+02	1.374485e+00
7.943282e+02	1.397789e+00
8.128305e+02	1.421554e+00
8.317638e+02	1.445787e+00
8.511380e+02	1.470499e+00
8.709636e+02	1.495698e+00
8.912509e+02	1.521394e+00
9.120108e+02	1.547596e+00
9.332543e+02	1.574313e+00
9.549926e+02	1.601557e+00
9.772372e+02	1.629336e+00
1.000000e+03	1.657662e+00
1.023293e+03	1.686545e+00
1.047129e+03	1.715996e+00
1.071519e+03	1.746025e+00
1.096478e+03	1.776644e+00
1.122018e+03	1.807864e+00
1.148154e+03	1.839698e+00
1.174898e+03	1.872156e+00
1.202264e+03	1.905251e+00
1.230269e+03	1.938996e+00
1.258925e+03	1.973403e+00
1.288250e+03	2.008485e+00
1.318257e+03	2.044255e+00
1.348963e+03	2.080726e+00
1.380384e+03	2.117913e+00
1.412538e+03	2.155828e+00
1.445440e+03	2.194487e+00
1.479108e+03	2.233904e+00
1.513561e+03	2.274093e+00
1.548817e+03	2.315071e+00
1.584893e+03	2.356851e+00
1.621810e+03	2.399449e+00
1.659587e+03	2.442881e+00
1.698244e+03	2.487163e+00
1.737801e+03	2.532312e+00
1.778279e+03	2.578344e+00
1.819701e+03	2.625278e+00
1.862087e+03	2.673131e+00
1.905461e+03	2.721920e+00
1.949845e+03	2.771664e+00
