      Energy	InelasticMFP
        (eV)	        (nm)
1.927525e+01	1.673659e+01
1.949845e+01	1.602921e+01
1.972423e+01	1.536663e+01
1.995262e+01	1.473522e+01
2.018366e+01	1.413765e+01
2.041738e+01	1.357369e+01
2.065380e+01	1.303075e+01
2.089296e+01	1.251600e+01
2.113489e+01	1.202765e+01
2.137962e+01	1.155577e+01
2.162719e+01	1.110635e+01
2.187762e+01	1.067842e+01
2.213095e+01	1.026595e+01
2.238721e+01	9.869910e+00
2.264644e+01	9.491882e+00
2.290868e+01	9.130587e+00
2.317395e+01	8.778903e+00
2.344229e+01	8.441863e+00
2.371374e+01	8.118305e+00
2.398833e+01	7.807046e+00
2.426610e+01	7.502624e+00
2.454709e+01	7.209580e+00
2.483133e+01	6.927077e+00
2.511886e+01	6.654091e+00
2.540973e+01	6.387000e+00
2.570396e+01	6.126265e+00
2.600160e+01	5.873155e+00
2.630268e+01	5.627231e+00
2.660725e+01	5.388160e+00
2.691535e+01	5.153313e+00
2.722701e+01	4.923603e+00
2.754229e+01	4.700388e+00
2.786121e+01	4.483186e+00
2.818383e+01	4.271550e+00
2.851018e+01	4.065187e+00
2.884032e+01	3.860866e+00
2.917427e+01	3.661434e+00
2.951209e+01	3.467315e+00
2.985383e+01	3.278607e+00
3.019952e+01	3.095451e+00
3.054921e+01	2.918121e+00
3.090295e+01	2.746344e+00
3.126079e+01	2.579091e+00
3.162278e+01	2.418805e+00
3.198895e+01	2.265622e+00
3.235937e+01	2.119610e+00
3.273407e+01	1.980778e+00
3.311311e+01	1.849083e+00
3.349654e+01	1.724435e+00
3.388442e+01	1.606319e+00
3.427678e+01	1.494283e+00
3.467369e+01	1.390540e+00
3.507519e+01	1.295314e+00
3.548134e+01	1.208404e+00
3.589219e+01	1.129360e+00
3.630781e+01	1.057609e+00
3.672823e+01	9.925248e-01
3.715352e+01	9.334834e-01
3.758374e+01	8.798856e-01
3.801894e+01	8.310874e-01
3.845918e+01	7.869094e-01
3.890451e+01	7.472623e-01
3.935501e+01	7.117466e-01
3.981072e+01	6.799422e-01
4.027170e+01	6.514430e-01
4.073803e+01	6.258730e-01
4.120975e+01	6.028927e-01
4.168694e+01	5.822009e-01
4.216965e+01	5.635267e-01
4.265795e+01	5.466311e-01
4.315191e+01	5.313082e-01
4.365158e+01	5.173810e-01
4.415704e+01	5.046928e-01
4.466836e+01	4.931084e-01
4.518559e+01	4.825225e-01
